Word	Similar_Word	Sense_id	Semantic_Similarity
ability	add	1	0.7682413
ability	allowed	1	0.7670203
ability	allowing	1	0.7608296
ability	allows	1	0.78220594
ability	balance	1	0.7858833
ability	capability	1	0.76278204
ability	configure	1	0.79199815
ability	contribute	1	0.7607221
ability	customize	1	0.7979507
ability	disable	1	0.77882093
ability	disrupt	1	0.7542554
ability	emulate	1	0.76577485
ability	enable	1	0.8101318
ability	enhance	1	0.82429296
ability	environment	1	0.7350972
ability	improve	1	0.7451784
ability	inability	1	0.77943677
ability	install	1	0.7659863
ability	invisibility	1	0.7569431
ability	longevity	1	0.76180255
ability	magics	1	0.77446145
ability	modify	1	0.7832748
ability	powers	1	0.78465277
ability	psionic	1	0.77807677
ability	psychically	1	0.7613079
ability	resilience	1	0.7698001
ability	select	1	0.783221
ability	senses	1	0.7629127
ability	sensitivity	1	0.7681934
ability	settings	1	0.77636564
ability	shapeshift	1	0.7555755
ability	software	1	0.7624149
ability	stability	1	0.7387154
ability	stabilize	1	0.7357255
ability	summon	1	0.78688544
ability	synchronize	1	0.7681431
ability	telekinesis	1	0.76597863
ability	telepathic	1	0.76013863
ability	telepathically	1	0.7760469
ability	teleport	1	0.79409075
ability	users	1	0.7646054
ability	vattic	1	0.7818141
academic	anthropologist	1	0.71310544
academic	assistant	1	0.739058
academic	associate	1	0.73025143
academic	bergtraum	1	0.6649986
academic	biochemist	1	0.70526123
academic	chs	1	0.64163744
academic	departments	1	0.84702885
academic	disciplines	1	0.78753316
academic	economist	1	0.79022026
academic	educator	1	0.71722156
academic	epgy	1	0.6775096
academic	extramural	1	0.7592411
academic	faculties	1	0.7870609
academic	fhs	1	0.6722885
academic	fmhs	1	0.6685983
academic	forensics	1	0.63416564
academic	hchs	1	0.6418739
academic	historian	1	0.7405663
academic	learning	1	0.76886445
academic	mathcounts	1	0.6738481
academic	ncssm	1	0.6551651
academic	oac	1	0.7139732
academic	offered	1	0.75954854
academic	offers	1	0.77291644
academic	pingry	1	0.64280313
academic	programs	1	0.8154049
academic	pseo	1	0.63735104
academic	researcher	1	0.7767379
academic	scientist	1	0.7584123
academic	sociologist	1	0.7302452
academic	statistician	1	0.7008858
academic	teaching	1	0.8538692
academic	tutor	1	0.70819867
academic	ucdc	1	0.76106054
academic	uil	1	0.6499989
academic	vjc	1	0.6694991
academic	worldquest	1	0.63932306
access	affordable	1	0.74560666
access	appropriate	1	0.7520757
access	bcat	1	0.7371586
access	connect	1	0.80271274
access	connecting	1	0.80527204
access	connections	1	0.78652763
access	dth	1	0.69602877
access	ensure	1	0.7583757
access	existing	1	0.7664561
access	feeder	1	0.7545771
access	health	1	0.73754257
access	incentives	1	0.7635601
access	internet	1	0.75446886
access	intranet	1	0.7137145
access	iptv	1	0.7409512
access	link	1	0.77592325
access	linking	1	0.7840062
access	links	1	0.79876894
access	manage	1	0.7390724
access	newsfeeds	1	0.71774
access	peoplepc	1	0.7183705
access	providing	1	0.7766207
access	provision	1	0.75611037
access	road	1	0.7617257
access	seeking	1	0.75908226
access	subscription	1	0.7618335
access	telephony	1	0.69597805
access	travellers	1	0.7679768
access	vehicular	1	0.80221415
access	via	1	0.7951872
access	webcasting	1	0.7161952
accord	accordance	1	0.721668
accord	accords	1	0.68469614
accord	acura	1	0.67093337
accord	agreements	1	0.6902212
accord	aveo	1	0.6811416
accord	camry	1	0.6676105
accord	ceasefire	1	0.7074225
accord	communique	1	0.6745736
accord	comport	1	0.6529698
accord	conformity	1	0.7235455
accord	consciences	1	0.6709027
accord	deference	1	0.6304647
accord	destinies	1	0.624339
accord	dispute	1	0.6719169
accord	exercise	1	0.6212424
accord	forswear	1	0.6181557
accord	frud	1	0.6852189
accord	g20	1	0.6510929
accord	harmonize	1	0.62110955
accord	honda	1	0.68766284
accord	integra	1	0.64204353
accord	kadett	1	0.65541494
accord	keeping	1	0.64303136
accord	lexus	1	0.64820254
accord	lumina	1	0.6552702
accord	meech	1	0.6689879
accord	meriva	1	0.6719638
accord	micra	1	0.64069957
accord	negotiated	1	0.68992054
accord	nissan	1	0.66932505
accord	obedience	1	0.628756
accord	optra	1	0.6627572
accord	persevere	1	0.6272162
accord	toyota	1	0.6572767
accord	treaty	1	0.6802296
accord	tripartite	1	0.68354315
accord	unilaterally	1	0.7239337
